name,category,city
Багеттерия,cafe,Москва
Lux cafe,cafe,Москва
Баскин Роббинс,cafe,Москва
кремлевский экспресс,cafe,Москва
УДОНъяСАН,cafe,Москва
Кофетун,cafe,Москва
Техас Чикен,cafe,Москва
Ташир Пицца,cafe,Москва
Кебаб Тун,cafe,Москва
Шарм,cafe,Москва
Венский Штрудель,cafe,Москва
Сбарро,fast_food,Москва
Сушитун,cafe,Москва
Шейх Палас,restaurant,Москва
Музей В.В. Маяковского,museum,Москва
Москино Вымпел,cinema,Москва
Московский государственный историко-этнографический театр,theatre,Москва
Пивбар 6/9,cafe,Москва
Кабоб,restaurant,Москва
Столовая,fast_food,Москва
Большой театр. Камерная сцена им. Б. А. Покровского,theatre,Москва
Шале,restaurant,Москва
de Bassus,restaurant,Москва
Praha matka mest,artwork,Москва
Хинкальная,restaurant,Москва
Джем,restaurant,Москва
French Kiss,cafe,Москва
Ростикс,fast_food,Москва
ЭТО Кафе,cafe,Москва
Му-Му,restaurant,Москва
A'petit,cafe,Москва
Punch & Judy,pub,Москва
Буржуй,cafe,Москва
Б. Ш. Окуджаве,attraction,Москва
"Ave, pasta!",restaurant,Москва
Дума,bar,Москва
Кофемания,restaurant,Москва
Подполье,restaurant,Москва
На Песчаной,gallery,Москва
Киноцентр Азовский,cinema,Москва
ВьетКафе,restaurant,Москва
Учебный театр Школы-студии МХАТ,theatre,Москва
Музей С. С. Прокофьева,museum,Москва
room cafe,bar,Москва
Пиццбург,restaurant,Москва
Nabat,restaurant,Москва
Боэми,restaurant,Москва
Знаменская Слобода,restaurant,Москва
Хмель & Солод,bar,Москва
Stardogs,fast_food,Москва
Кронверк Синема Лефортово,cinema,Москва
Флэшбэк-2,cafe,Москва
Гранд,cafe,Москва
Московский драматический театр имени А. С. Пушкина,theatre,Москва
Театр кукол имени С. В. Образцова,theatre,Москва
Krunchy Dream,fast_food,Москва
Лакомка,cafe,Москва
Surf Coffee,cafe,Москва
Рай,cafe,Москва
"Дом творчества детей и молодёжи ""Марьино"". Филиал №1",arts_centre,Москва
Megapolis,cafe,Москва
Metekhi,restaurant,Москва
F1 Fans Club,bar,Москва
Subway,fast_food,Москва
Трактир Охотничий Домик,restaurant,Москва
Суши Тун,fast_food,Москва
Carlsberg,pub,Москва
Егерь,restaurant,Москва
Марков двор,restaurant,Москва
Венахи,restaurant,Москва
"Тройка лошадей, берущих препятствие",artwork,Москва
,bbq,Москва
Час Кино,cinema,Москва
Куры гриль,fast_food,Москва
Паутина,cafe,Москва
Карина,cafe,Москва
Сказка Востока,restaurant,Москва
Алло! Пицца,cafe,Москва
Подушкин,love_hotel,Москва
Веста,restaurant,Москва
ГутенТаг,pub,Москва
Чеми,cafe,Москва
Сунжа,restaurant,Москва
Черчилль,pub,Москва
Луч,bar,Москва
"Концертный зал ""Измайлово""",theatre,Москва
Китайская кухня,restaurant,Москва
Ваби Саби,restaurant,Москва
Гуси-Лебеди,restaurant,Москва
Тамада,restaurant,Москва
Argomento,restaurant,Москва
Алло Пицца,fast_food,Москва
Домино'c,fast_food,Москва
Тройка,restaurant,Москва
Москино Юность,cinema,Москва
Шалом,theatre,Москва
Цурцум,restaurant,Москва
Фрэндс,cafe,Москва
Рубин-банкетный зал,restaurant,Москва
Виват-пицца,fast_food,Москва
Теплица,fast_food,Москва
Глобус,bar,Москва
Путеводная звезда гусара,artwork,Москва
Дурдинъ,restaurant,Москва
Юноша,artwork,Москва
Девушка,artwork,Москва
Бар#Каб,pub,Москва
Бакинский дворик,cafe,Москва
Фиеста Синема,cinema,Москва
Ниагара,pub,Москва
Тифлисъ,restaurant,Москва
Пышка,fast_food,Москва
Интерпаб,pub,Москва
Аладдин,pub,Москва
Свой Круг,cafe,Москва
Бистро столовая №1,fast_food,Москва
Ханой Фуд,cafe,Москва
Чебуречная,cafe,Москва
Боцман,restaurant,Москва
Хинкальная 53,cafe,Москва
Купальщица,artwork,Москва
"Музей ""Храм Покрова в Филях""",museum,Москва
Старый город,cafe,Москва
Пряник,restaurant,Москва
Театр на набережной,theatre,Москва
Дом художника на Вавилова,arts_centre,Москва
Старт,cafe,Москва
Сенполия,restaurant,Москва
"Лошадь ""Вечерняя Москва""",artwork,Москва
"Лошадь ""Клоун""",artwork,Москва
Домик в деревне,cafe,Москва
Старая Башня,restaurant,Москва
Без вывески,theatre,Москва
Оазис,restaurant,Москва
Белфаст,pub,Москва
Burgers pub,cafe,Москва
Беш-бармак,restaurant,Москва
Комбинат питания Космос,restaurant,Москва
Васильки,restaurant,Москва
Мариус,restaurant,Москва
Павлин,zoo,Москва
Возрождение,artwork,Москва
Дом-музей А.Н. Островского,museum,Москва
Гранд кафе,cafe,Москва
Пицца Пиппони,cafe,Москва
BrownBar,restaurant,Москва
Хинкальная,cafe,Москва
Sbarro,fast_food,Москва
Кофейная Кантата,cafe,Москва
Миш мэш,restaurant,Москва
Сытый лось,restaurant,Москва
Суши Сити,cafe,Москва
Hesburger,fast_food,Москва
FoodBox,fast_food,Москва
Оливка,restaurant,Москва
Москва,restaurant,Москва
Лаферм,cafe,Москва
